index,country,age,gender,seed,gcs_path
1,Afghanistan,20,Male,92536,gs://imagen4-faces-imagen-demo-460715/0001.png
2,Afghanistan,20,Male,25678,gs://imagen4-faces-imagen-demo-460715/0002.png
3,Afghanistan,20,Male,85278,gs://imagen4-faces-imagen-demo-460715/0003.png
4,Afghanistan,20,Male,41392,gs://imagen4-faces-imagen-demo-460715/0004.png
5,Afghanistan,20,Male,76898,gs://imagen4-faces-imagen-demo-460715/0005.png
6,Afghanistan,20,Male,91000,gs://imagen4-faces-imagen-demo-460715/0006.png
7,Afghanistan,20,Female,62462,gs://imagen4-faces-imagen-demo-460715/0007.png
8,Afghanistan,20,Female,71917,gs://imagen4-faces-imagen-demo-460715/0008.png
9,Afghanistan,20,Female,25298,gs://imagen4-faces-imagen-demo-460715/0009.png
10,Afghanistan,20,Female,53255,gs://imagen4-faces-imagen-demo-460715/0010.png
11,Afghanistan,20,Female,22656,gs://imagen4-faces-imagen-demo-460715/0011.png
12,Afghanistan,20,Female,70425,gs://imagen4-faces-imagen-demo-460715/0012.png
13,Afghanistan,30,Male,15852,gs://imagen4-faces-imagen-demo-460715/0013.png
14,Afghanistan,30,Male,79523,gs://imagen4-faces-imagen-demo-460715/0014.png
15,Afghanistan,30,Male,28050,gs://imagen4-faces-imagen-demo-460715/0015.png
16,Afghanistan,30,Male,23786,gs://imagen4-faces-imagen-demo-460715/0016.png
17,Afghanistan,30,Male,25189,gs://imagen4-faces-imagen-demo-460715/0017.png
18,Afghanistan,30,Male,88150,gs://imagen4-faces-imagen-demo-460715/0018.png
19,Afghanistan,30,Female,76260,gs://imagen4-faces-imagen-demo-460715/0019.png
20,Afghanistan,30,Female,76255,gs://imagen4-faces-imagen-demo-460715/0020.png
21,Afghanistan,30,Female,68932,gs://imagen4-faces-imagen-demo-460715/0021.png
22,Afghanistan,30,Female,41732,gs://imagen4-faces-imagen-demo-460715/0022.png
23,Afghanistan,30,Female,80772,gs://imagen4-faces-imagen-demo-460715/0023.png
